aID_STAO,elevation,HS,land_use,N_surveys,SR_pl_mean,SR_pl_sh_mean,SR_pl_lo_mean,SR_pl_trend,T_pl_mean,T_pl_sh_mean,T_pl_lo_mean,T_pl_trend,T_pl_sh_trend,T_pl_lo_trend,SR_mo_mean,SR_mo_sh_mean,SR_mo_lo_mean,SR_mo_trend,T_mo_mean,T_mo_sh_mean,T_mo_lo_mean,T_mo_trend,T_mo_sh_trend,T_mo_lo_trend
1,1593.800048828125,alpine,forest,4,50.5,2.125,30.25,-9.6,2.5475000000000003,2.8333333333333335,2.5730623543123543,0.2819999999999998,0.49999999999999833,0.09283216783216819,19.25,9,29.25,-0.6000000000000014,3.0025,3.25,2.9318181818181817,-0.17400000000000054,-0.20000000000000034,-0.16363636363636383
2,1258.699951171875,subalpine,forest,3,19,0,27,-1.0064455803527834e-14,3.0633333333333335,NA,3,-0.010000000000000165,NA,0.04999999999999898,24.666666666666668,2.6666666666666665,58.333333333333336,5.9999999999999964,2.96,2.6666666666666665,2.9706716285663655,-0.1700000000000013,NA,-0.14646464646464638
3,456,colline,grassland,4,34,32,17.75,4.000000000000003,3.44,3.65515873015873,3.5428571428571427,-0.032000000000000375,-0.012380952380951802,-0.07428571428571455,6,7,2.25,-3.6000000000000005,3.6966666666666668,4,3,-1.6659184490138386e-15,-5.294608918056356e-16,-8.411848787042894e-16
4,615.9000244140625,colline,forest,4,42,0,85.625,-2.8,3.535,NA,3.605525362318841,0.04399999999999995,NA,0.08442028985507175,17,6.75,34.25,1.6000000000000012,3.1975000000000002,3.3333333333333335,3.186378205128205,0.1220000000000006,0.26666666666666605,0.10243589743589768
5,1072.0999755859375,montane,grassland,4,34,21.125,15.75,-0.39999999999999714,3.18,3.344642857142857,3.325,0.004000000000000095,-0.03714285714285647,0.17999999999999952,3.25,3.75,3,-0.6000000000000001,3.9175,3.833333333333333,4,-0.1980000000000004,-0.22222222222222174,-5.294608918056356e-16
6,1217.699951171875,subalpine,grassland,3,43.666666666666664,2,48,-6.000000000000019,3.0633333333333335,3,2.823529411764706,-0.05000000000000124,7.522300307430131e-16,-1.6766333053233846e-15,6.333333333333333,2,8,-2.000000000000002,3,3,3,-8.411848787042894e-16,1.5044600614860262e-15,-8.411848787042894e-16
7,1484.5,subalpine,forest,4,43.25,3.375,57.625,7.400000000000002,2.7175000000000002,2.625,2.681166056166056,0.01799999999999997,0.09999999999999981,-0.017582417582417516,17.25,8,32.5,-8.2,2.7875,2.4444444444444446,2.8363636363636364,0.15399999999999991,-0.26666666666666794,0.13818181818181827
8,1280.5999755859375,subalpine,forest,4,17.75,0.625,27.25,-9.799999999999997,2.85,2.5,2.8666035353535353,-0.019999999999999934,NA,-0.06651515151515214,19.5,8.5,40.75,2.799999999999998,2.9050000000000002,2.875,2.9102941176470587,-0.023999999999999837,-0.19999999999999982,0.01137254901960815
9,1124.0999755859375,montane,forest,3,32,2.5,49.333333333333336,-4.235687134445085e-15,2.96,2.5,2.901143790849673,-0.020000000000001242,-9.970468721536164e-16,-0.0416666666666679,23,4.666666666666667,51,-1.0000000000000115,2.9833333333333334,2.8333333333333335,3,-1.3500314019242332e-15,-5.422796927171379e-16,-8.411848787042894e-16
10,1359,subalpine,grassland,4,63.25,6.25,25.125,6.1999999999999975,2.8325,3.625,2.4099025974025974,-0.06600000000000054,-0.29999999999999993,-0.10649350649350653,14.25,3.75,21.75,-4.2,2.855,3,2.825,0.10800000000000001,-8.411848787042894e-16,0.12000000000000027
