aID_STAO,year,yr,land_use,elevation,ele,HS,AZ_pl,AZ_pl_Termo,AZ_pl_Meso,AZ_pl_Cryo,T_pl,AZ_mo,AZ_mo_Termo,AZ_mo_Meso,AZ_mo_Cryo,AZ_mo_sh,AZ_mo_lo,T_mo,T_mo_sh,T_mo_lo
308,2001,-0.9,forest,491,-0.045,colline,38,5,11,0,3.41,2,0,0,0,0,0,NA,NA,NA
277,2001,-0.9,forest,527.79998779296875,0.13899993896484375,montane,1,0,0,0,NA,11,1,9,0,4,27,3.1,4,3
188,2001,-0.9,forest,478.5,-0.1075,colline,28,4,5,0,3.48,7,0,5,0,6,9,3,3,3
305,2001,-0.9,forest,620.79998779296875,0.6039999389648437,montane,22,2,9,0,3.33,7,2,1,0,8,3,3.67,4,3
337,2001,-0.9,forest,632.79998779296875,0.6639999389648438,montane,4,2,1,0,3.63,5,1,3,0,3,10,3.25,3,3.3333333333333335
341,2001,-0.9,forest,604,0.52,montane,15,3,6,0,3.33,9,0,8,0,9,15,3,3,3
195,2001,-0.9,forest,694.79998779296875,0.9739999389648437,montane,9,1,2,0,3.4,10,1,3,0,0,13,3.25,NA,3.25
162,2001,-0.9,forest,600.5999755859375,0.5029998779296875,montane,7,2,3,0,3.42,18,5,9,0,0,47,3.36,NA,3.357142857142857
133,2001,-0.9,forest,996.79998779296875,2.483999938964844,montane,10,0,3,1,3.1,13,0,8,0,3,21,3,3,3
1129,2001,-0.9,unused,2902.199951171875,12.010999755859375,alpine,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
1035,2001,-0.9,forest,960.20001220703125,2.301000061035156,montane,12,0,4,0,3.07,10,1,5,0,0,16,3.17,NA,3.2
1154,2001,-0.9,grassland,1504.699951171875,5.023499755859375,montane,47,8,14,0,3.32,3,0,0,0,0,0,NA,NA,NA
1173,2001,-0.9,forest,1360.5,4.3025,montane,18,2,5,1,3.12,13,0,8,0,0,21,3,NA,3
1039,2001,-0.9,grassland,1148.800048828125,3.244000244140625,montane,60,7,20,5,3.08,8,1,5,0,0,19,3.17,NA,3.1666666666666665
1008,2001,-0.9,grassland,1646.5999755859375,5.732999877929688,subalpine,46,1,13,15,2.56,11,0,5,0,0,15,3,NA,3
1030,2001,-0.9,grassland,1373.699951171875,4.368499755859375,montane,43,5,17,0,3.18,8,1,2,0,7,3,3.33,3.5,3
979,2001,-0.9,forest,1341.0999755859375,4.205499877929688,montane,19,0,9,1,2.88,0,0,0,0,0,0,NA,NA,NA
